Time,PT.Motor.Trq,Car.v
66.14,-9.999999046,55.14729534
66.15,-9.999999046,55.05356479
66.16,-9.999999046,54.95993381
66.17,-9.999999046,54.86639896
66.18,-9.999999046,54.77296024
66.19,-9.999999046,54.67961421
66.2,-9.999999046,54.58635745
66.21,-9.999999046,54.49318653
66.22,-9.999999046,54.40010143
66.23,-9.999999046,54.30709529
66.24,-9.999999046,54.21416812
66.25,-9.999999046,54.12130962
66.26,-9.999999046,54.02851978
66.27,-9.999999046,53.93579517
66.28,-9.999999046,53.84312892
66.29,-9.999999046,53.75051418
66.3,-9.999999046,53.6579475
66.31,-9.999999046,53.56542202
66.32,-9.999999046,53.47293773
66.33,-9.999999046,53.38048435
66.34,-9.999999046,53.288055
66.35,-9.999999046,53.19565311
66.36,-9.999999046,53.10326496
66.37,-9.999999046,53.01089054
66.38,-9.999999046,52.91852642
66.39,-9.999999046,52.8261623
66.4,-9.999999046,52.73379818
66.41,-9.999999046,52.64142719
66.42,-9.999999046,52.5490459
66.43,-9.999999046,52.45665432
66.44,-9.999999046,52.36424213
66.45,-9.999999046,52.27181278
66.46,-9.999999046,52.17935596
66.47,-9.999999046,52.08687168
66.48,-9.999999046,51.99435993
66.49,-9.999999046,51.90181385
66.5,-9.999999046,51.80923343
66.51,-9.999999046,51.71661525
66.52,-9.999999046,51.62395931
66.53,-9.999999046,51.53125873
66.54,-9.999999046,51.43851352
66.55,-9.999999046,51.34572712
66.56,-9.999999046,51.25288921
66.57,-9.999999046,51.16000667
66.58,-9.999999046,51.06707264
66.59,-9.999999046,50.9740871
66.6,-9.999999046,50.88105007
66.61,-9.999999046,50.78796497
66.62,-9.999999046,50.69482494
66.63,-9.999999046,50.60163341
66.64,-9.999999046,50.50838695
66.65,-9.999999046,50.41508899
66.66,-9.999999046,50.32174297
66.67,-9.999999046,50.22834202
66.68,-9.999999046,50.134893
66.69,-9.999999046,50.04139591
66.7,-9.999999046,49.94785076
66.71,-9.999999046,49.85425754
66.72,-9.999999046,49.76062656
66.73,-9.999999046,49.66695095
66.74,-9.999999046,49.573241
66.75,-9.999999046,49.47949329
66.76,-9.999999046,49.38571468
66.77,-9.999999046,49.29190517
66.78,-9.999999046,49.19807163
66.79,-9.999999046,49.10421062
66.8,-9.999999046,49.01032215
66.81,-9.999999046,48.91640278
66.82,-9.999999046,48.82244907
66.83,-9.999999046,48.72846104
66.84,-9.999999046,48.63444553
66.85,-9.999999046,48.54039913
66.86,-9.999999046,48.44632526
66.87,-9.999999046,48.35222393
66.88,-9.999999046,48.25809856
66.89,-9.999999046,48.16394916
66.9,-9.999999046,48.06977573
66.91,-9.999999046,47.97558857
66.92,-9.999999046,47.88138424
66.93,-9.999999046,47.78716961
66.94,-9.999999046,47.69294811
66.95,-9.999999046,47.59872662
66.96,-9.999999046,47.50450855
66.97,-9.999999046,47.41030079
66.98,-9.999999046,47.31610676
66.99,-9.999999046,47.22193676
67,-9.999999046,47.12778736
67.01,-9.999999046,47.03367573
67.02,-9.999999046,46.93959843
67.03,-9.999999046,46.84556576
67.04,-9.999999046,46.75158802
67.05,-9.999999046,46.65766522
67.06,-9.999999046,46.56380764
