time,ecu,resp_id,did,signal,value,unit
22.582516,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
22.582516,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
22.582516,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
22.582516,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
22.582516,MCU DID 0101,0x7EC,0101,rpm,0,rpm
22.601191,ABS / ESP,0x7D9,,speed_kmh,0,km/h
22.616157,ABS / ESP,0x7D9,,steer_raw,32772,raw
22.620145,ABS / ESP,0x7D9,,brake_pedel,38,mm
22.712573,MCU DID 0101,0x7EC,0101,battery_current,1.2000000000000002,A
22.712573,MCU DID 0101,0x7EC,0101,battery_voltage,381.70000000000005,V
22.712573,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
22.712573,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
22.712573,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
22.712573,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
22.712573,MCU DID 0101,0x7EC,0101,rpm,0,rpm
22.732265,ABS / ESP,0x7D9,,speed_kmh,0,km/h
22.746279,ABS / ESP,0x7D9,,steer_raw,32772,raw
22.749895,ABS / ESP,0x7D9,,brake_pedel,38,mm
22.842765,MCU DID 0101,0x7EC,0101,battery_current,1.1,A
22.842765,MCU DID 0101,0x7EC,0101,battery_voltage,381.8,V
22.842765,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
22.842765,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
